,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,254,273,357,438,449,383,408,438,448,493,495,513,693
Expenses +,219,241,300,372,382,303,321,349,357,360,331,355,519
Operating Profit,35,31,57,66,67,80,87,89,90,133,164,158,174
OPM %,14%,11%,16%,15%,15%,21%,21%,20%,20%,27%,33%,31%,25%
Other Income +,5,4,3,-18,29,7,9,9,15,18,23,15,25
Interest,0,0,0,0,0,0,1,0,1,2,6,11,9
Depreciation,2,3,4,4,8,6,7,6,11,14,18,22,23
Profit before tax,37,32,56,45,87,80,87,91,93,135,164,140,167
Tax %,6%,5%,9%,-3%,12%,12%,6%,4%,9%,10%,11%,9%,13%
Net Profit +,35,31,51,46,77,71,82,87,85,121,146,128,145
EPS in Rs,0.86,0.74,1.23,1.23,1.68,1.68,1.91,2.05,1.96,2.77,3.36,2.93,3.28
Raw PDF,,,,,,,,,,,,,
