,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025
Sales +,"4,129","4,669","4,559","4,519","4,716","5,271","5,194","5,391","5,601","6,147","6,161","6,051","6,396"
Expenses +,"3,684","4,095","4,105","4,874","4,206","4,509","4,639","4,701","4,831","5,207","5,199","5,443","5,415"
Operating Profit,445,574,454,-355,510,762,555,690,770,940,962,609,981
OPM %,11%,12%,10%,-8%,11%,14%,11%,13%,14%,15%,16%,10%,15%
Other Income +,20,36,11,928,10,2,19,8,4,-21,-2,60,13
Interest,0,0,0,0,0,0,0,0,0,0,0,0,0
Depreciation,0,0,0,0,0,0,0,0,0,0,0,0,0
Profit before tax,465,610,465,573,520,764,574,698,774,919,960,668,994
Tax %,25%,3%,24%,24%,25%,24%,25%,26%,25%,24%,25%,24%,25%
Net Profit +,349,591,353,437,390,577,431,520,580,694,724,510,747
EPS in Rs,7.11,12.02,7.18,8.90,7.95,11.75,8.76,10.54,11.77,14.03,14.63,10.28,15.04
Raw PDF,,,,,,,,,,,,,
