,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,441,397,416,458,536,429,463,439,549,401,493,452,581
Expenses +,356,334,348,383,445,358,387,377,454,343,420,391,472
Operating Profit,85,63,68,75,90,70,76,61,95,58,72,62,108
OPM %,19%,16%,16%,16%,17%,16%,17%,14%,17%,14%,15%,14%,19%
Other Income +,1,-1,11,13,4,15,11,16,16,16,18,12,14
Interest,2,1,1,1,2,1,1,2,2,1,3,2,2
Depreciation,8,8,8,9,8,8,9,10,10,9,11,10,11
Profit before tax,75,54,69,78,84,76,77,66,99,64,77,61,109
Tax %,29%,26%,26%,27%,25%,25%,26%,22%,24%,26%,10%,24%,21%
Net Profit +,54,40,51,57,63,57,57,52,76,47,69,46,86
EPS in Rs,40.71,30.36,39.02,43.38,48.25,43.27,43.75,39.12,57.61,36.18,52.27,35.22,65.84
Raw PDF,,,,,,,,,,,,,
