,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,"2,161","2,558","2,496","2,470","2,240","2,477","2,476","2,422","2,278","2,643","2,664","2,794","2,730"
Expenses +,"1,815","2,030","2,063","2,014","1,847","1,903","1,979","1,909","1,836","2,017","2,142","2,261","2,272"
Operating Profit,346,528,433,456,393,574,497,513,442,626,522,533,458
OPM %,16%,21%,17%,18%,18%,23%,20%,21%,19%,24%,20%,19%,17%
Other Income +,24,17,19,40,68,46,38,43,15,37,82,42,47
Interest,11,10,15,14,17,17,20,19,17,17,11,13,12
Depreciation,37,36,37,39,43,36,39,42,41,41,41,44,52
Profit before tax,322,499,400,443,401,567,476,495,399,605,552,518,441
Tax %,20%,24%,23%,25%,24%,23%,24%,22%,20%,22%,22%,22%,22%
Net Profit +,257,377,307,333,305,436,360,386,320,474,433,406,345
EPS in Rs,1.94,2.87,2.33,2.54,2.34,3.30,2.73,2.96,2.46,3.58,3.27,3.08,2.65
Raw PDF,,,,,,,,,,,,,
