,Mar 2023,Mar 2024,Mar 2025,TTM
Sales +,45,"1,855","2,043","2,238"
Expenses +,6,296,495,576
Operating Profit,39,"1,559","1,548","1,661"
OPM %,88%,84%,76%,74%
Other Income +,10,429,429,434
Interest,0,10,8,106
Depreciation,0,22,23,23
Profit before tax,49,"1,956","1,947","1,965"
Tax %,37%,18%,17%,
Net Profit +,31,"1,605","1,613","1,625"
EPS in Rs,,2.53,2.54,2.55
Dividend Payout %,0%,0%,20%,
