,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025
Sales +,414,608,414,418,418,694,438,493,612
Expenses +,38,66,94,98,74,140,125,155,156
Operating Profit,376,542,320,320,344,553,313,338,457
OPM %,91%,89%,77%,77%,82%,80%,71%,69%,75%
Other Income +,67,218,67,78,62,226,70,71,67
Interest,10,0,0,0,0,0,0,8,99
Depreciation,5,5,5,5,5,6,6,6,6
Profit before tax,427,754,381,393,400,773,377,396,419
Tax %,22%,11%,23%,21%,22%,11%,22%,20%,23%
Net Profit +,332,668,294,311,313,689,295,316,325
EPS in Rs,,1.05,0.46,0.49,0.49,1.08,0.46,0.50,0.51
Raw PDF,,,,,,,,,
