,Mar 2020,Mar 2021
Sales +,538,499
Expenses +,324,293
Operating Profit,214,206
OPM %,40%,41%
Other Income +,6,4
Interest,7,5
Depreciation,18,20
Profit before tax,194,185
Tax %,25%,26%
Net Profit +,145,136
EPS in Rs,"24,141.67","1,396.49"
Dividend Payout %,0%,0%
