,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,724,828,"1,019",920,796,"1,046","1,158","1,250",875,"1,170","1,384","1,589","1,573"
Expenses +,561,626,779,710,644,794,934,"1,022",685,905,"1,112","1,228","1,304"
Operating Profit,164,201,241,210,152,253,224,228,191,266,272,361,269
OPM %,23%,24%,24%,23%,19%,24%,19%,18%,22%,23%,20%,23%,17%
Other Income +,25,2,43,79,44,53,38,87,114,-14,102,80,136
Interest,11,6,7,7,9,7,7,6,4,6,5,3,4
Depreciation,37,38,39,39,37,37,36,36,28,36,32,28,42
Profit before tax,140,159,238,243,149,262,219,272,273,210,338,411,359
Tax %,26%,17%,25%,23%,26%,16%,25%,22%,21%,15%,26%,23%,22%
Net Profit +,104,142,202,199,147,254,202,212,215,229,248,316,280
EPS in Rs,19.95,27.37,38.82,38.32,28.29,48.94,38.87,40.84,41.19,43.96,47.76,60.75,53.72
Raw PDF,,,,,,,,,,,,,
