,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,155,43,328,67,179,270,163,181,277,214,237,257,251
Expenses +,103,18,249,20,78,54,42,45,128,65,35,46,35
Operating Profit,52,25,79,47,101,216,121,137,149,149,203,211,217
OPM %,34%,59%,24%,70%,56%,80%,74%,75%,54%,70%,85%,82%,86%
Other Income +,0,0,0,1,4,1,1,2,3,6,12,7,8
Interest,7,4,2,5,2,1,1,1,1,1,1,1,1
Depreciation,1,1,1,1,1,1,2,2,2,2,2,2,2
Profit before tax,45,20,76,42,102,215,120,136,149,153,212,215,221
Tax %,44%,35%,75%,27%,62%,25%,28%,26%,25%,25%,25%,25%,26%
Net Profit +,25,13,19,30,39,161,86,101,113,114,158,161,165
EPS in Rs,3.02,1.57,2.32,2.53,5.58,19.35,10.31,12.06,13.53,13.65,19.01,19.29,19.78
Raw PDF,,,,,,,,,,,,,
