,Sep 2021,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Dec 2024,Mar 2025
Sales +,81,93,91,103,143,143,157,137,175,178,189,207,192
Expenses +,30,32,29,37,42,61,58,51,66,64,72,81,85
Operating Profit,50,61,62,66,101,82,99,86,109,114,117,125,107
OPM %,62%,65%,69%,65%,71%,57%,63%,63%,62%,64%,62%,61%,56%
Other Income +,10,10,12,8,16,19,20,25,23,27,31,31,20
Interest,2,2,3,3,5,3,2,3,5,6,0,2,1
Depreciation,7,7,8,8,8,8,9,14,14,14,12,13,13
Profit before tax,51,61,64,63,104,90,109,94,112,121,136,142,112
Tax %,13%,20%,16%,15%,22%,22%,22%,19%,22%,23%,23%,22%,21%
Net Profit +,44,49,54,54,82,70,85,76,88,94,105,110,89
EPS in Rs,6.24,7.00,7.60,7.62,11.62,9.95,12.05,10.80,12.46,13.31,14.92,15.60,12.58
Raw PDF,,,,,,,,,,,,,
