,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,363,295,417,644,712,753,879,896,"1,115",880,"1,009","1,030","1,045"
Expenses +,332,266,368,566,620,657,759,773,970,743,870,887,898
Operating Profit,31,30,49,79,91,97,121,123,146,137,139,143,147
OPM %,9%,10%,12%,12%,13%,13%,14%,14%,13%,16%,14%,14%,14%
Other Income +,1,1,1,2,1,2,6,5,12,8,10,15,12
Interest,5,6,7,7,9,8,10,11,11,13,17,14,17
Depreciation,6,6,7,6,6,7,7,7,8,12,13,14,15
Profit before tax,21,19,36,67,78,84,110,110,139,120,119,130,127
Tax %,36%,33%,34%,34%,49%,25%,25%,26%,25%,23%,25%,26%,20%
Net Profit +,14,13,24,45,39,63,82,81,105,92,89,96,103
EPS in Rs,1.54,0.33,0.62,1.15,1.01,1.57,2.05,1.98,2.55,2.23,2.11,2.29,2.43
Raw PDF,,,,,,,,,,,,,
