,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Sales +,441,571,142,483,"1,065","1,393","1,737"
Expenses +,395,484,163,451,876,"1,126","1,462"
Operating Profit,46,87,-21,32,189,267,275
OPM %,10%,15%,-15%,7%,18%,19%,16%
Other Income +,-1,18,5,37,24,15,75
Interest,6,5,2,7,14,19,23
Depreciation,5,12,11,16,25,36,52
Profit before tax,34,88,-30,46,174,227,275
Tax %,23%,17%,16%,27%,15%,12%,16%
Net Profit +,26,73,-34,34,148,201,230
EPS in Rs,138.92,384.79,-180.13,3.23,13.84,19.39,21.17
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%
