,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,"4,227","5,729","10,113","8,310","5,476","5,693","6,988","5,464","3,913","4,729","7,433","6,935","4,988"
Expenses +,"3,848","5,044","9,056","7,539","5,089","4,988","5,933","5,115","3,650","4,238","6,471","6,222","4,578"
Operating Profit,379,685,"1,057",771,387,706,"1,055",349,263,490,962,713,410
OPM %,9%,12%,10%,9%,7%,12%,15%,6%,7%,10%,13%,10%,8%
Other Income +,77,55,32,40,47,44,45,59,84,54,65,114,472
Interest,21,27,54,57,52,41,46,38,62,57,66,73,66
Depreciation,45,45,46,47,45,48,54,64,63,65,69,71,85
Profit before tax,389,669,989,706,337,661,"1,000",306,222,422,892,683,731
Tax %,26%,25%,25%,25%,27%,25%,25%,25%,26%,27%,26%,26%,21%
Net Profit +,290,499,741,527,246,494,755,228,164,309,659,508,578
EPS in Rs,9.87,16.99,25.20,17.92,8.38,16.80,25.71,7.85,5.45,10.56,22.55,17.37,19.67
Raw PDF,,,,,,,,,,,,,
