,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,"78,439","71,935","79,611","88,489","105,932","102,236","105,129","110,577","119,033","108,048","101,450","112,608","119,503"
Expenses +,"70,156","69,522","74,039","77,668","92,818","89,019","91,362","95,159","102,348","92,263","89,291","100,185","102,685"
Operating Profit,"8,283","2,413","5,572","10,820","13,114","13,217","13,767","15,418","16,685","15,785","12,159","12,423","16,818"
OPM %,11%,3%,7%,12%,12%,13%,13%,14%,14%,15%,12%,11%,14%
Other Income +,189,"2,381","1,351","1,130","1,453",895,"1,557","1,604","1,412","1,747","1,647","1,700","1,057"
Interest,"2,381","2,421","2,487","2,676","2,642","2,615","2,652","2,485","1,645","2,088","2,034","1,119","1,076"
Depreciation,"6,432","5,841","5,897","6,072","7,050","6,633","6,637","6,850","7,143","6,574","6,005","5,399","5,295"
Profit before tax,-341,"-3,468","-1,461","3,203","4,875","4,864","6,035","7,687","9,309","8,870","5,767","7,605","11,504"
Tax %,222%,44%,-31%,8%,-13%,32%,36%,7%,-88%,36%,40%,28%,26%
Net Profit +,-992,"-4,951",-898,"3,043","5,496","3,301","3,832","7,145","17,528","5,692","3,450","5,485","8,556"
EPS in Rs,-3.11,-15.08,-2.84,8.91,16.28,9.64,11.33,21.14,52.37,16.74,9.08,14.69,23.01
Raw PDF,,,,,,,,,,,,,
