,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,137,140,149,141,125,150,207,214,241,257,322,278,224
Expenses +,46,66,58,57,56,70,79,84,93,103,122,117,115
Operating Profit,90,75,91,85,68,80,128,130,148,154,200,161,109
OPM %,66%,53%,61%,60%,55%,53%,62%,61%,61%,60%,62%,58%,49%
Other Income +,11,6,21,20,19,24,23,21,29,30,37,21,32
Interest,0,0,0,0,0,0,0,0,0,0,0,0,0
Depreciation,4,4,5,5,5,6,6,7,8,10,12,13,14
Profit before tax,98,77,107,99,82,98,145,145,168,175,225,168,127
Tax %,20%,25%,25%,25%,23%,25%,25%,26%,23%,23%,28%,23%,21%
Net Profit +,78,58,80,75,63,74,109,107,129,134,162,130,100
EPS in Rs,3.72,2.76,3.85,3.57,3.02,3.52,5.21,5.14,6.18,6.42,7.75,6.22,4.80
Raw PDF,,,,,,,,,,,,,
