,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,"1,176","1,255","1,301","1,332","1,270","1,335","1,369","1,378","1,574","1,933","1,955","2,151","2,103"
Expenses +,902,962,990,"1,046","1,052","1,100","1,091","1,098","1,262","1,553","1,558","1,749","1,715"
Operating Profit,274,293,312,286,218,235,277,280,311,380,396,402,389
OPM %,23%,23%,24%,22%,17%,18%,20%,20%,20%,20%,20%,19%,18%
Other Income +,12,11,27,10,20,9,42,20,196,14,25,6,11
Interest,46,47,50,52,53,54,57,62,114,134,138,133,117
Depreciation,106,107,115,133,132,136,142,152,169,184,201,208,214
Profit before tax,134,149,174,111,53,54,121,86,224,77,82,67,69
Tax %,28%,25%,25%,28%,47%,47%,19%,23%,7%,24%,19%,35%,28%
Net Profit +,96,113,132,80,29,29,97,66,208,58,67,43,49
EPS in Rs,1.47,1.71,1.99,1.22,0.43,0.44,1.47,1.00,3.14,0.85,0.97,0.65,0.73
Raw PDF,,,,,,,,,,,,,
