,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,"52,851","35,853","42,763","46,390","58,335","47,882","51,024","55,128","67,079","55,120","61,555","64,668","74,392"
Expenses +,"44,892","30,443","36,400","39,736","49,981","41,566","43,984","47,929","58,426","48,074","53,638","56,770","64,516"
Operating Profit,"7,959","5,410","6,362","6,653","8,354","6,316","7,040","7,199","8,653","7,046","7,917","7,898","9,876"
OPM %,15%,15%,15%,14%,14%,13%,14%,13%,13%,13%,13%,12%,13%
Other Income +,516,695,739,891,741,"1,146","1,133",838,"1,135",921,"1,101",968,"1,610"
Interest,"2,147","2,212","2,304","2,383","2,334","2,299","2,272","2,344","2,345","2,292","2,439","2,486","2,419"
Depreciation,769,963,860,825,854,830,910,921,"1,021",998,"1,024","1,047","1,052"
Profit before tax,"5,558","2,929","3,937","4,336","5,907","4,332","4,991","4,772","6,422","4,677","5,555","5,333","8,014"
Tax %,28%,22%,28%,29%,25%,28%,23%,25%,22%,26%,26%,25%,23%
Net Profit +,"4,138","2,228","2,785","3,058","4,459","3,096","3,846","3,593","5,013","3,445","4,099","3,974","6,156"
EPS in Rs,25.77,12.11,15.86,18.17,28.37,17.74,23.45,21.44,31.98,20.26,24.69,24.43,39.97
Raw PDF,,,,,,,,,,,,,
