,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,220,207,227,249,235,215,253,270,251,246,227,263,252
Expenses +,92,95,106,109,105,109,102,110,97,96,94,124,95
Operating Profit,128,112,121,140,130,106,151,159,154,150,133,139,157
OPM %,58%,54%,53%,56%,55%,49%,60%,59%,61%,61%,58%,53%,62%
Other Income +,16,-0,7,4,24,16,26,25,-32,25,25,25,23
Interest,1,2,2,2,2,3,2,2,3,2,2,1,2
Depreciation,31,30,29,30,28,29,29,29,29,29,29,31,28
Profit before tax,112,79,97,113,125,90,146,153,91,144,126,132,150
Tax %,34%,25%,25%,25%,22%,25%,37%,24%,27%,24%,40%,25%,25%
Net Profit +,74,59,72,84,97,68,92,116,66,110,75,99,112
EPS in Rs,1.54,1.23,1.49,1.74,2.01,1.40,1.91,2.40,1.36,2.27,1.56,2.06,2.32
Raw PDF,,,,,,,,,,,,,
