,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,222,273,254,319,304,305,276,329,299,318,322,382,322
Expenses +,182,229,208,254,214,233,211,254,225,235,243,279,239
Operating Profit,40,44,46,65,90,71,66,75,74,83,79,102,83
OPM %,18%,16%,18%,21%,30%,23%,24%,23%,25%,26%,25%,27%,26%
Other Income +,4,4,7,5,4,6,6,4,16,5,6,8,12
Interest,1,1,1,1,0,0,1,0,1,0,0,0,1
Depreciation,4,4,4,4,4,4,5,5,4,5,4,4,4
Profit before tax,39,43,48,65,90,72,67,74,84,83,81,106,90
Tax %,25%,26%,26%,26%,26%,26%,26%,26%,24%,26%,25%,27%,25%
Net Profit +,29,32,35,48,67,54,50,55,64,62,60,78,68
EPS in Rs,9.26,10.17,11.23,15.19,21.26,17.02,15.75,17.45,20.23,19.60,19.12,24.60,21.43
Raw PDF,,,,,,,,,,,,,
