,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,"2,667","2,768","1,768","2,006","2,957","3,360","2,293","2,626","4,203","4,921","2,619","3,105","4,768"
Expenses +,"2,434","2,622","1,696","1,962","2,767","3,206","2,256","2,633","4,051","4,527","2,489","2,940","4,467"
Operating Profit,232,146,72,44,190,154,37,-8,152,394,130,165,301
OPM %,9%,5%,4%,2%,6%,5%,2%,-0%,4%,8%,5%,5%,6%
Other Income +,37,27,-42,-107,47,70,71,58,54,80,105,59,80
Interest,13,4,7,6,12,10,11,14,21,10,14,16,23
Depreciation,9,8,10,11,10,11,12,13,12,13,16,18,14
Profit before tax,247,160,13,-80,214,203,85,24,174,452,205,191,343
Tax %,26%,32%,145%,37%,33%,36%,58%,216%,36%,26%,35%,31%,31%
Net Profit +,183,110,-6,-110,143,129,36,-28,111,335,133,131,236
EPS in Rs,5.52,3.29,-0.22,-3.34,4.35,3.91,1.11,-0.92,3.52,10.10,4.05,3.99,7.28
Raw PDF,,,,,,,,,,,,,
