,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,666,580,683,789,749,703,836,758,863,908,927,996,"1,037"
Expenses +,597,564,624,712,686,645,764,677,791,820,864,916,945
Operating Profit,70,16,59,78,63,58,73,80,72,88,63,81,92
OPM %,10%,3%,9%,10%,8%,8%,9%,11%,8%,10%,7%,8%,9%
Other Income +,-1,50,7,-5,23,23,14,15,25,7,40,29,36
Interest,14,11,10,9,10,13,11,13,12,13,12,13,6
Depreciation,5,5,6,6,7,8,9,9,12,7,7,8,8
Profit before tax,49,50,50,58,70,61,67,74,72,75,85,89,115
Tax %,7%,11%,10%,12%,8%,14%,12%,17%,4%,9%,15%,12%,17%
Net Profit +,46,45,45,50,64,53,59,61,69,68,72,78,95
EPS in Rs,5.99,6.16,6.46,7.27,9.24,7.54,8.38,8.73,9.99,9.75,10.43,10.56,12.89
Raw PDF,,,,,,,,,,,,,
