,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,"175,292","223,411","208,757","205,715","203,872","198,551","179,246","199,906","198,650","193,845","174,976","194,014","195,270"
Expenses +,"161,019","217,996","205,477","201,411","186,236","174,851","156,075","183,172","186,675","183,925","171,509","186,442","180,241"
Operating Profit,"14,273","5,415","3,280","4,304","17,637","23,700","23,171","16,733","11,975","9,920","3,467","7,573","15,029"
OPM %,8%,2%,2%,2%,9%,12%,13%,8%,6%,5%,2%,4%,8%
Other Income +,717,994,"1,031","1,731","1,368",970,829,"1,916","1,686","1,104","2,556","1,936","1,519"
Interest,"1,806","1,908","1,554","2,122","1,957","1,743","1,977","1,958","2,147","2,080","2,546","2,458","2,178"
Depreciation,"3,292","3,158","3,283","3,451","3,288","3,476","3,610","4,686","4,094","4,103","4,065","4,284","4,325"
Profit before tax,"9,891","1,344",-527,462,"13,759","19,450","18,413","12,005","7,420","4,841",-589,"2,766","10,045"
Tax %,28%,34%,73%,-93%,21%,24%,26%,23%,26%,23%,-24%,22%,17%
Net Profit +,"7,089",883,-910,890,"10,841","14,735","13,713","9,225","5,488","3,723",-449,"2,147","8,368"
EPS in Rs,4.71,-0.20,-0.70,0.55,7.29,10.22,9.29,6.39,3.65,2.50,-0.12,1.50,5.75
Raw PDF,,,,,,,,,,,,,
