,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,"69,324","63,430","59,878","57,084","62,962","59,490","55,682","55,312","58,687","54,771","53,905","53,648","56,218"
Expenses +,"54,294","48,457","53,817","53,036","55,742","54,587","51,414","49,048","52,087","48,077","47,789","47,745","49,659"
Operating Profit,"15,030","14,973","6,060","4,048","7,219","4,903","4,268","6,264","6,601","6,694","6,116","5,903","6,559"
OPM %,22%,24%,10%,7%,11%,8%,8%,11%,11%,12%,11%,11%,12%
Other Income +,177,388,412,491,277,"1,190","-6,568",-33,-382,-6,617,142,149
Interest,"1,099","1,218","1,519","1,768","1,794","1,825","1,959","1,881","1,842","1,777","1,971","1,804","1,789"
Depreciation,"2,243","2,237","2,348","2,368","2,382","2,412","2,480","2,422","2,568","2,535","2,597","2,569","2,720"
Profit before tax,"11,865","11,906","2,605",403,"3,321","1,855","-6,739","1,928","1,809","2,377","2,164","1,672","2,200"
Tax %,17%,35%,50%,721%,53%,72%,-3%,73%,69%,61%,65%,82%,45%
Net Profit +,"9,835","7,714","1,297","-2,502","1,566",525,"-6,511",522,555,919,759,295,"1,201"
EPS in Rs,7.99,6.36,1.24,-1.82,1.40,0.52,-5.07,0.42,0.49,0.77,0.67,0.26,1.04
Raw PDF,,,,,,,,,,,,,
