,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Sales +,996,"1,178","2,068","3,644","3,963"
Expenses +,889,"1,065","1,819","3,157","3,398"
Operating Profit,106,114,249,487,566
OPM %,11%,10%,12%,13%,14%
Other Income +,2,3,5,25,44
Interest,21,18,29,41,60
Depreciation,21,23,25,28,54
Profit before tax,66,76,200,442,496
Tax %,19%,34%,40%,25%,23%
Net Profit +,53,50,121,331,380
EPS in Rs,5.97,5.55,3.12,8.04,9.00
Dividend Payout %,0%,0%,16%,7%,11%
